window_index,udp_pkt_count,udp_pkt_rate,avg_pkt_len,std_pkt_len,unique_src_ips,unique_dst_ports,entropy_src_ip,burst_100ms_max,pps_change,is_udp_flood,score_udp,severity_udp,rank_by_score
5023,152,152.0,115.64473684210526,54.98246226306799,2,39,1.0,58,124.0,True,380.0,Critical,19
5024,32,32.0,112.9375,62.781833309883524,2,9,1.0,18,-120.0,False,0.0,Normal,57
5038,28,28.0,128.14285714285714,40.14946564820925,3,2,1.2958363892911637,28,-4.0,False,0.0,Normal,57
5039,8,8.0,136.25,53.176004927034526,2,2,1.0,8,-20.0,False,0.0,Normal,57
5041,24,24.0,127.25,61.265984308858805,2,2,1.0,24,16.0,False,0.0,Normal,57
5048,20,20.0,101.6,28.517363131958746,3,5,1.3609640474436813,12,-4.0,False,0.0,Normal,57
5061,20,20.0,159.2,73.81571648368659,3,2,1.3609640474436813,10,0.0,False,0.0,Normal,57
5062,8,8.0,150.75,58.31970078798416,2,2,1.0,8,-12.0,False,0.0,Normal,57
5120,2,2.0,74.0,0.0,1,1,0.0,2,-6.0,False,0.0,Normal,57
5121,2,2.0,144.0,0.0,1,1,0.0,2,0.0,False,0.0,Normal,57
5127,16,16.0,100.125,24.106210299422845,2,4,0.954434002924965,16,14.0,False,0.0,Normal,57
5128,68,68.0,110.61764705882354,27.61075526363547,3,12,1.5221898721658211,32,52.0,False,0.0,Normal,57
5129,90,90.0,108.2,34.65102211094693,3,15,1.4253296878737316,32,22.0,False,0.0,Normal,57
5130,26,26.0,92.38461538461539,21.99488913200051,3,6,1.5485806065228545,26,-64.0,False,0.0,Normal,57
5131,6,6.0,111.0,36.76955262170047,2,2,0.9182958340544896,6,-20.0,False,0.0,Normal,57
5132,6,6.0,95.66666666666667,7.542472332656507,3,2,1.584962500721156,4,0.0,False,0.0,Normal,57
5133,12,12.0,103.33333333333333,27.62647683332463,3,3,1.4591479170272448,6,6.0,False,0.0,Normal,57
5139,8,8.0,132.0,0.0,1,1,0.0,8,-4.0,False,0.0,Normal,57
5140,36,36.0,147.66666666666666,17.384539747207064,3,7,1.5715416718219246,32,28.0,False,0.0,Normal,57
5169,2,2.0,132.0,0.0,1,1,0.0,2,-34.0,False,0.0,Normal,57
5170,22,22.0,148.1818181818182,20.541833952905968,3,4,1.5394847569315018,20,20.0,False,0.0,Normal,57
5203,4,4.0,109.0,35.0,2,2,1.0,2,-18.0,False,0.0,Normal,57
5236,20,20.0,75.2,13.717142559585795,1,2,0.0,10,16.0,False,0.0,Normal,57
5237,4,4.0,92.0,0.0,1,1,0.0,4,-16.0,False,0.0,Normal,57
5324,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
5327,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5330,20,20.0,98.8,22.400000000000002,3,4,1.4854752972273344,18,19.0,False,0.0,Normal,57
5331,12,12.0,104.83333333333333,19.480046771561458,3,3,1.4591479170272448,6,-8.0,False,0.0,Normal,57
